stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
000333.SZ,,highest_peak,20210210,107.11,20240810,32.132999999999996,2025-03-26 00:43:40
002459.SZ,,highest_peak,20220610,100.44,20251210,30.131999999999998,2025-03-26 00:48:03
600588.SH,,highest_peak,20150612,68.69,20181212,20.607,2025-03-26 00:48:54
601225.SH,,highest_peak,20220909,25.03,20260309,7.509,2025-03-26 00:40:32
600415.SH,,highest_peak,20150417,28.02,20181017,8.405999999999999,2025-03-26 00:49:51
002415.SZ,,highest_peak,20210723,67.4,20250123,20.220000000000002,2025-03-26 00:45:03
600085.SH,,highest_peak,20230505,61.1,20261105,18.33,2025-03-26 00:46:52
601728.SH,,highest_peak,20230317,7.25,20260917,2.175,2025-03-26 00:43:08
601800.SH,,highest_peak,20150417,22.2,20181017,6.659999999999999,2025-03-26 00:49:31
688271.SH,,highest_peak,20221014,214.88,20260414,64.464,2025-03-26 00:40:27
600941.SH,,highest_peak,20230609,102.66,20261209,30.798,2025-03-26 00:45:41
600061.SH,,highest_peak,20150605,37.82,20181205,11.346,2025-03-26 00:48:17
002493.SZ,,highest_peak,20210210,44.1,20240810,13.23,2025-03-26 00:50:33
603986.SH,,highest_peak,20200221,394.48,20230821,118.344,2025-03-26 00:44:48
603369.SH,,highest_peak,20230407,65.15,20261007,19.545,2025-03-26 00:49:38
601872.SH,,highest_peak,20150612,10.39,20181212,3.117,2025-03-26 00:46:35
000999.SZ,,highest_peak,20230526,67.23,20261126,20.169,2025-03-26 00:46:06
601788.SH,,highest_peak,20150612,35.46,20181212,10.638,2025-03-26 00:49:29
600905.SH,,highest_peak,20211224,7.77,20250624,2.331,2025-03-26 00:40:17
600660.SH,,highest_peak,20210122,62.56,20240722,18.768,2025-03-26 00:44:29
600025.SH,,highest_peak,20231222,8.72,20270622,2.616,2025-03-26 00:48:08
688082.SH,,highest_peak,20211126,134.01,20250526,40.202999999999996,2025-03-26 00:47:50
000858.SZ,,highest_peak,20210219,344.4,20240819,103.32,2025-03-26 00:43:59
601985.SH,,highest_peak,20150626,13.95,20181226,4.185,2025-03-26 00:42:38
601995.SH,,highest_peak,20201231,75.27,20240630,22.581,2025-03-26 00:41:07
688396.SH,,highest_peak,20210730,100.0,20250130,30.0,2025-03-26 00:46:45
601318.SH,,highest_peak,20190912,92.34,20230312,27.702,2025-03-26 00:43:35
600196.SH,,highest_peak,20210730,81.88,20250130,24.563999999999997,2025-03-26 00:49:10
300014.SZ,,highest_peak,20211126,148.75,20250526,44.625,2025-03-26 00:39:50
300979.SZ,,highest_peak,20210702,115.1,20250102,34.529999999999994,2025-03-26 00:47:48
