stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
300408.SZ,,latest_peak,20150515,81.0,20181115,24.3,2025-03-26 00:41:53
600999.SH,,latest_peak,20150612,32.77,20181212,9.831000000000001,2025-03-26 00:40:47
600000.SH,,latest_peak,20161209,17.34,20200609,5.202,2025-03-26 00:43:14
600010.SH,,latest_peak,20150612,7.07,20181212,2.121,2025-03-26 00:41:41
600989.SH,,latest_peak,20220610,16.61,20251210,4.983,2025-03-26 00:49:44
603659.SH,,latest_peak,20211210,184.5,20250610,55.35,2025-03-26 00:47:20
002920.SZ,,latest_peak,20220729,195.0,20260129,58.5,2025-03-26 00:50:11
601766.SH,,latest_peak,20150417,35.88,20181017,10.764000000000001,2025-03-26 00:44:25
000977.SZ,,latest_peak,20230621,61.48,20261221,18.444,2025-03-26 00:40:01
603260.SH,,latest_peak,20210827,227.38,20250227,68.214,2025-03-26 00:46:34
600893.SH,,latest_peak,20211203,65.6,20250603,19.679999999999996,2025-03-26 00:42:27
300347.SZ,,latest_peak,20210930,174.0,20250330,52.199999999999996,2025-03-26 00:51:27
300502.SZ,,latest_peak,20161125,160.1,20200525,48.029999999999994,2025-03-26 00:40:58
002304.SZ,,latest_peak,20210716,206.41,20250116,61.922999999999995,2025-03-26 00:42:34
601658.SH,,latest_peak,20230505,5.72,20261105,1.716,2025-03-26 00:40:02
002709.SZ,,latest_peak,20211029,164.93,20250429,49.479,2025-03-26 00:51:20
601799.SH,,latest_peak,20211029,228.66,20250429,68.598,2025-03-26 00:48:23
300896.SZ,,latest_peak,20210210,1215.0,20240810,364.5,2025-03-26 00:48:46
000001.SZ,,latest_peak,20210604,24.54,20241204,7.361999999999999,2025-03-26 00:44:23
002352.SZ,,latest_peak,20210210,117.1,20240810,35.129999999999995,2025-03-26 00:45:29
688256.SH,,latest_peak,20230621,230.98,20261221,69.294,2025-03-26 00:42:57
300015.SZ,,latest_peak,20210611,85.89,20241211,25.767,2025-03-26 00:40:53
000063.SZ,,latest_peak,20230630,45.54,20261230,13.661999999999999,2025-03-26 00:43:20
601117.SH,,latest_peak,20211217,12.84,20250617,3.852,2025-03-26 00:50:43
601319.SH,,latest_peak,20190621,9.87,20221221,2.961,2025-03-26 00:46:18
300413.SZ,,latest_peak,20210122,91.98,20240722,27.594,2025-03-26 00:46:32
002736.SZ,,latest_peak,20150605,32.1,20181205,9.63,2025-03-26 00:51:13
000876.SZ,,latest_peak,20200904,39.69,20240304,11.906999999999998,2025-03-26 00:46:04
601336.SH,,latest_peak,20201204,63.35,20240604,19.005,2025-03-26 00:45:57
600111.SH,,latest_peak,20210910,61.01,20250310,18.302999999999997,2025-03-26 00:40:08
601138.SH,,latest_peak,20230804,23.77,20270204,7.130999999999999,2025-03-26 00:44:55
601808.SH,,latest_peak,20150612,31.17,20181212,9.351,2025-03-26 00:47:53
601818.SH,,latest_peak,20150710,5.79,20190110,1.7369999999999999,2025-03-26 00:40:37
002422.SZ,,latest_peak,20130510,65.7,20161110,19.71,2025-03-26 00:50:13
002241.SZ,,latest_peak,20211217,56.07,20250617,16.820999999999998,2025-03-26 00:40:42
688041.SH,,latest_peak,20231208,80.34,20270608,24.102,2025-03-26 00:42:59
601633.SH,,latest_peak,20211029,68.0,20250429,20.4,2025-03-26 00:49:14
601066.SH,,latest_peak,20200807,54.67,20240207,16.401,2025-03-26 00:49:16
600233.SH,,latest_peak,20161104,38.03,20200504,11.409,2025-03-26 00:46:43
